,종목코드,종목명,종류
328,005830,DB손해보험,KOSPI
329,005850,에스엘,KOSPI
330,005860,한일사료,KOSDAQ
331,005870,휴니드,KOSPI
332,005880,대한해운,KOSPI
333,005930,삼성전자,KOSPI
334,005935,삼성전자우,KOSPI
335,005940,NH투자증권,KOSPI
336,005945,NH투자증권우,KOSPI
337,005950,이수화학,KOSPI
338,005960,동부건설,KOSPI
339,005965,동부건설우,KOSPI
340,005980,성지건설,KOSPI
341,005990,매일홀딩스,KOSDAQ
342,006040,동원산업,KOSPI
343,006050,국영지앤엠,KOSDAQ
344,006060,화승인더,KOSPI
345,006090,사조오양,KOSPI
346,006110,삼아알미늄,KOSPI
347,006120,SK디스커버리,KOSPI
348,006125,SK디스커버리우,KOSPI
349,006140,피제이전자,KOSDAQ
350,006200,한국전자홀딩스,KOSPI
351,006220,제주은행,KOSPI
352,006260,LS,KOSPI
353,006280,녹십자,KOSPI
354,006340,대원전선,KOSPI
355,006345,대원전선우,KOSPI
356,006360,GS건설,KOSPI
357,006370,대구백화점,KOSPI
358,006380,카프로,KOSPI
359,006400,삼성SDI,KOSPI
360,006405,삼성SDI우,KOSPI
361,006490,인스코비,KOSPI
362,006570,대림통상,KOSPI
363,006580,대양제지,KOSDAQ
364,006620,동구바이오제약,KOSDAQ
365,006650,대한유화,KOSPI
366,006660,삼성공조,KOSPI
367,006730,서부T&D;,KOSDAQ
368,006740,영풍제지,KOSPI
369,006800,미래에셋대우,KOSPI
370,006805,미래에셋대우우,KOSPI
371,006840,AK홀딩스,KOSPI
372,006880,신송홀딩스,KOSPI
373,006890,태경화학,KOSPI
374,006910,보성파워텍,KOSDAQ
375,006920,모헨즈,KOSDAQ
376,006980,우성사료,KOSPI
377,007070,GS리테일,KOSPI
378,007110,일신석재,KOSPI
379,007120,미래아이앤지,KOSPI
380,007160,사조산업,KOSPI
381,007210,벽산,KOSPI
382,007310,오뚜기,KOSPI
383,007330,푸른저축은행,KOSDAQ
384,007340,디티알오토모티브,KOSPI
385,007370,진양제약,KOSDAQ
386,007390,네이처셀,KOSDAQ
387,007460,에이프로젠KIC,KOSPI
388,007530,영신금속,KOSDAQ
389,007540,샘표,KOSPI
390,007570,일양약품,KOSPI
391,007575,일양약품우,KOSPI
392,007590,동방아그로,KOSPI
393,007610,선도전기,KOSPI
394,007630,폴루스바이오팜,KOSPI
395,007660,이수페타시스,KOSPI
396,007680,대원,KOSDAQ
